City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
263,Zhigansk,RU,66.7697,123.3711,33.31,87,100,34.83,overcast clouds
264,Narsaq,GL,60.9167,-46.05,55.62,57,36,3.89,scattered clouds
265,Salalah,OM,17.0151,54.0924,85.5,76,37,7.38,scattered clouds
266,Afua,BR,-0.1567,-50.3867,77.68,92,100,4.34,overcast clouds
267,Weston,US,26.1004,-80.3998,83.01,76,20,8.05,few clouds
268,Chanika,TZ,-5.4167,38.0167,71.37,81,95,4.36,overcast clouds
269,Nizwa,OM,22.9333,57.5333,89.11,31,100,7.74,overcast clouds
270,Coquimbo,CL,-29.9533,-71.3436,60.53,77,20,11.5,few clouds
271,Khao Yoi,TH,13.2403,99.8243,87.98,65,61,4.88,light rain
272,Turukhansk,RU,65.8167,87.9833,12.65,92,28,4.14,scattered clouds
273,Manokwari,ID,-0.8667,134.0833,78.75,81,100,5.3,overcast clouds
274,Mount Isa,AU,-20.7333,139.5,73.17,60,4,4.61,clear sky
275,Anzio,IT,41.4853,12.6179,72.59,66,1,5.48,clear sky
276,Te Anau,NZ,-45.4167,167.7167,57.33,74,99,10.18,overcast clouds
277,Gelemso,ET,8.8167,40.5167,64.09,82,99,5.44,light rain
278,Upernavik,GL,72.7868,-56.1549,19.22,89,100,12.1,light snow
279,Hohhot,CN,40.8106,111.6522,37.69,28,0,4.47,clear sky
280,Coihueco,CL,-36.6167,-71.8333,54.34,62,0,9.22,clear sky
281,Qaqortoq,GL,60.7167,-46.0333,42.44,71,51,5.28,broken clouds
282,Novoagansk,RU,61.9449,76.6625,23,91,14,5.86,few clouds
283,Hirado,JP,33.3597,129.5531,56.39,67,100,10.6,overcast clouds
284,Cayenne,GF,4.9333,-52.3333,86.04,8,20,16.11,few clouds
285,Marhaura,IN,25.9667,84.8667,80.53,60,1,18.66,clear sky
286,Roma,US,43.2128,-75.4557,57.38,28,0,8.01,clear sky
287,Groton,US,41.3501,-72.0784,59.67,30,0,17.27,clear sky
288,Praia Da Vitoria,PT,38.7333,-27.0667,67.75,82,75,4.56,broken clouds
289,Sandwick,GB,60,-1.25,44.42,93,75,12.66,light rain
290,Winnemucca,US,40.973,-117.7357,53.65,32,0,3.44,clear sky
291,Arklow,IE,52.7931,-6.1414,48.69,93,100,10.02,moderate rain
292,Grindavik,IS,63.8424,-22.4338,45.07,87,100,13.8,overcast clouds
293,Lazaro Cardenas,MX,17.9583,-102.2,81.97,51,2,5.73,clear sky
294,Paamiut,GL,61.994,-49.6678,31.69,88,96,18.25,overcast clouds
295,Kyshtovka,RU,56.555,76.6271,46.65,52,100,12.64,overcast clouds
296,Norman Wells,CA,65.282,-126.8329,37.44,60,20,8.05,few clouds
297,Banda Aceh,ID,5.5577,95.3222,82.22,80,100,7.14,overcast clouds
298,Cooma,AU,-36.2333,149.1333,35.37,86,2,0,clear sky
299,Humaita,BR,-7.5061,-63.0208,92.43,49,98,2.62,overcast clouds
300,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,82.02,68,97,10.4,overcast clouds
301,Iquique,CL,-20.2208,-70.1431,66.24,66,22,6.11,few clouds
302,Tucupita,VE,9.0622,-62.051,92.61,44,80,7.74,broken clouds
303,Bandarbeyla,SO,9.4942,50.8122,84.72,73,11,10.38,few clouds
304,Ambulu,ID,-8.345,113.6058,76.28,91,87,2.89,overcast clouds
305,Ulaanbaatar,MN,47.9077,106.8832,37.53,41,0,0,clear sky
306,Sao Filipe,CV,14.8961,-24.4956,75.02,68,96,10.94,overcast clouds
307,Bischwiller,FR,48.7659,7.8583,59.38,62,75,11.5,broken clouds
308,Gigmoto,PH,13.7796,124.39,79.61,86,71,6.06,broken clouds
309,Chapais,CA,49.7834,-74.8492,42.58,55,4,7.49,clear sky
310,Dunedin,NZ,-45.8742,170.5036,54.81,79,30,4,scattered clouds
311,Iracoubo,GF,5.4802,-53.2011,82.69,68,77,11.52,broken clouds
312,Faanui,PF,-16.4833,-151.75,80.56,74,34,17.29,light rain
313,Aquiraz,BR,-3.9014,-38.3911,86.09,73,34,8.41,scattered clouds
314,Skibbereen,IE,51.55,-9.2667,55.11,74,100,8.14,overcast clouds
315,Altay,CN,47.8667,88.1167,52.48,33,81,11.16,broken clouds
316,San Cristobal,VE,7.7669,-72.225,82.58,77,100,7.05,overcast clouds
317,Berlevag,NO,70.8578,29.0864,26.4,60,99,20.09,overcast clouds
318,Boras,SE,57.721,12.9401,56.55,33,100,4.32,overcast clouds
319,Kavieng,PG,-2.5744,150.7967,81.95,73,84,2.08,broken clouds
320,Porbandar,IN,21.6422,69.6093,85.98,79,0,9.22,clear sky
321,Port Augusta,AU,-32.5,137.7667,58.69,62,0,6.42,clear sky
322,Lucea,JM,18.451,-78.1736,84.06,66,8,12.03,clear sky
323,Pedasi,PA,7.5333,-80.0333,83.39,71,97,5.1,overcast clouds
324,Uchiza,PE,-8.4592,-76.4633,80.69,68,100,2.46,overcast clouds
325,Igrim,RU,63.1906,64.4162,34.56,77,33,9.75,scattered clouds
326,Pandaria,IN,22.2333,81.4167,92.12,13,11,5.3,few clouds
327,Harper,LR,4.375,-7.7169,84.87,68,89,8.1,overcast clouds
328,Sorland,NO,67.667,12.6934,37.22,56,61,3.89,broken clouds
329,Vung Tau,VN,10.346,107.0843,81.18,82,100,7.52,overcast clouds
330,Hervey Bay,AU,-25.2986,152.8535,68.02,94,70,7,broken clouds
331,Khowst,AF,33.3833,69.8833,79.81,23,0,1.81,clear sky
332,Bocaiuva,BR,-17.1078,-43.815,83.91,23,0,8.25,clear sky
333,Sabha,LY,27.0377,14.4283,96.49,8,10,20.87,clear sky
334,Lixourion,GR,38.2019,20.4314,71.6,73,0,0,clear sky
335,Yermakovskoye,RU,53.2831,92.4003,57.56,47,65,3.22,broken clouds
336,Nipawin,CA,53.3668,-104.0009,46.44,66,75,4.61,broken clouds
337,Rosarito,MX,32.3333,-117.0333,69.4,71,5,4.45,clear sky
338,Cortez,US,37.3489,-108.5859,55.04,25,0,3.44,clear sky
339,Wanaka,NZ,-44.7,169.15,51.73,86,100,7.96,overcast clouds
340,Saint-Augustin,CA,51.226,-58.6502,35.55,94,100,15.68,overcast clouds
341,Marsh Harbour,BS,26.5412,-77.0636,72.16,81,100,14.83,overcast clouds
342,Bowen,AU,-20.0167,148.2333,70.07,92,2,8.68,clear sky
343,Bodrum,TR,37.0383,27.4292,67.93,70,73,16.28,broken clouds
344,Cotonou,BJ,6.3654,2.4183,87.78,66,20,10.36,few clouds
345,Lupiro,TZ,-8.3833,36.6667,74.46,78,62,0.67,broken clouds
346,Maribo,DK,54.7766,11.5002,56.95,57,97,6.33,overcast clouds
347,Camacupa,AO,-12.0167,17.4833,69.22,59,97,3.53,overcast clouds
